Date (DD/MM/YY),Time,Recorder,Specimen ID,Longitude,Latitude,Fokontany / PN,Species,Altitude (m),Circumference of trunk (m),Height (m),Height approximated? (Y/N),Soil,Surrounding vegetation,Bark stripping (Y/N),Bark stripping observations,Bark stripping factor,Bark etchings,Footholds,Marary (Y/N),Marary observations,Marary factor,Leaves (Y/N),Flowers (Y/N),Fruit (Y/N),Near village?,Near cliff face?,Near other baobabs?,Hollow trunk?,Notes
28/06/23,3:59 PM,KVP,KMEAS1,-22.04864,43.26512,Andavadoaka,grandidieri,8,13.26,4.93,N,"rocky, sandy",dry brush,Y,not much,1,NA,Y,NA,NA,NA,N,N,N,N,N,Y,N,might have no fungus (not explicitly written as healthy or sick)
28/06/23,3:56 PM,KVP,KBUNCH,-22.04866,43.26528,Andavadoaka,grandidieri,-9,NA,NA,NA,"rocky, sandy",dry brush,NA,NA,NA,NA,NA,Y,extensive,3,N,N,N,N,N,Y,N,dubious altitude because other altitudes for nearby trees are all positive; told by MAP Team that tree will die soon - bark brittle
28/06/23,4:08 PM,KVP,KB2,-22.04804,43.26511,Andavadoaka,grandidieri,10,13.57,6.85,N,"rocky, sandy",dry brush,Y,some,1,NA,NA,Y,small,1,N,N,N,N,N,Y,N,
28/06/23,4:17 PM,KVP,KB3,-22.0472,43.26616,Andavadoaka,grandidieri,8,15.37,7.4,N,"rocky, sandy",dry brush,Y,1/2 of trunk,3,NA,NA,NA,NA,NA,N,N,N,N,N,Y,N,might have no fungus (not explicitly written as healthy or sick); big zebu poops near tree
28/06/23,4:23 PM,KVP,KB4,-22.04704,43.26617,Andavadoaka,grandidieri,7,13.96,7.52,N,"rocky, sandy",dry brush,Y,"all around trunk, patch about 1.3m in height",3,NA,NA,Y,small mark,1,N,N,N,N,N,Y,N,
28/06/23,4:29 PM,KVP,KB5,-22.04677,43.26597,Andavadoaka,grandidieri,7,7.38,4.68,N,"rocky, sandy",dry brush,Y,1/5 of trunk,2,NA,NA,Y,all down the trunk,3,N,N,N,N,N,Y,N,
28/06/23,NA,KVP,NA - Andava,NA,NA,Andavadoaka,grandidieri,NA,NA,NA,NA,"rocky, sandy",dry brush,NA,NA,NA,NA,NA,Y,NA,NA,N,N,N,N,N,Y,N,recorded as a note -- within sightline of KB5 but not properly surveyed
30/06/23,3:48 PM,KVP,NS1,-22.03535,43.26354,Andavadoaka,grandidieri,7,6.6,5.4,Y,"rocky (limestone, quartz), dirt, fine sand","dry brush, sono",Y,1/6 or less of trunk,1,NA,NA,Y,little,1,N,N,N,N,N,N,N,"approx height is recorded as ""2.7 of Mika height"" (Mika height is 2m since it was observed with his arm raised)"
30/06/23,4:06 PM,KVP,NS2,-22.03493,43.264,Andavadoaka,grandidieri,9,10.1,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",Y,ring along bottom (1/3 of trunk),2,NA,NA,Y,kely,1,N,N,N,N,N,Y,N,
30/06/23,4:19 PM,KVP,NS3,-22.03488,43.26409,Andavadoaka,grandidieri,8,7.65,4.5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",Y,1/2 trunk,3,NA,NA,Y,kely,1,N,N,N,N,N,Y,N,fallen branches on ground (kicked down by people)
30/06/23,4:26 PM,KVP,NS4,-22.03478,43.26422,Andavadoaka,grandidieri,7,7.72,4,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"core easy, water dripped from core hole, no resistance, very wet core; branches on ground"
30/06/23,4:49 PM,KVP,NS5,-22.03466,43.26426,Andavadoaka,grandidieri,NA,5.7,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka, komokomoke",Y,1/3 of trunk,2,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,
30/06/23,4:55 PM,KVP,NS6,-22.03471,43.26432,Andavadoaka,grandidieri,7,8.95,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka, komokomoke",Y,NA,NA,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,
30/06/23,NA,KVP,NA - NS,NA,NA,Andavadoaka,grandidieri,NA,NA,NA,NA,"rocky (limestone, quartz), dirt, fine sand",NA,Y,NA,NA,NA,NA,Y,NA,2,N,N,N,N,N,NA,N,recorded as a note -- around the NS area but not properly surveyed
03/07/23,9:22 AM,KVP,AMB1,-22.07881,43.27221,Ambalorao,grandidieri,9,8.4,5.7,N,rocky (rockier than Andava),"bozake, sono, voafotaky, famata, tapisaky, satsasatsa",N,NA,0,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,"pockmarked tree trunk, red-brown bark"
03/07/23,NA,KVP,AMB2,-22.0787,43.27221,Ambalorao,grandidieri,9,3,4.7,N,"rocky, thin soil horizon","famata, maintimpo",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,time recorded sometime between 9:22 and 10:37 AM
03/07/23,10:37 AM,KVP,AMB3,-22.07949,43.27256,Ambalorao,grandidieri,5,5.45,4.9,N,"limestone, rocky (same as other AMB)","anakarake, sasave, famata, maintimpo",Y,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"branches cut off by people, light brown red bark"
03/07/23,11:34 AM,KVP,AMB4,-22.0798,43.2725,Ambalorao,grandidieri,2,4.6,4.28,N,"limestone, rocky (same as other AMB)","tapisaky, sono, nonokalika, famata",Y,light (patches),1,NA,NA,N,NA,0,N,N,N,N,N,Y,N,famata is growing inside
03/07/23,11:37 AM,KVP,AMB5,-22.07992,43.27245,Ambalorao,grandidieri,3,4.9,4.16,N,"limestone, rocky (same as other AMB)","famata, sasave, anakarake, fandrehosy, vantango",Y,patches,1,NA,NA,Y,all over bark,3,N,N,N,N,N,Y,N,"tree observation says ""no stem"" (not sure what that means)"
03/07/23,11:48 AM,KVP,AMB6,-22.07984,43.2722,Ambalorao,grandidieri,-1,7.14,3.5,N,"limestone, rocky (same as other AMB)","nonoke, vantango, sasave, vafotaky, hazamafinto",N,NA,0,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"experimented on by Japanese researchers (specimen A87 painted on the bark), grey bark, right next to AMB7 (related?)"
03/07/23,NA,KVP,NA - AMB MATY1,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB1 - AMB6"
03/07/23,NA,KVP,NA - AMB MATY2,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB1 - AMB6"
03/07/23,11:56 AM,KVP,AMB7,-22.07984,43.27216,Ambalorao,grandidieri,1,2.96,3.65,N,"limestone, rocky (same as other AMB)","nonoke, vantango, sasave, vafotaky, hazamafinto, matsake",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"right next to AMB6 (related?), nearby zebu poops"
